year,pm10_emissions_thousand_tonnes,pm25_emissions_thousand_tonnes,erc_2020-2029
1970,689.4441808165013,545.7867865334987,
1971,634.1621341140727,483.83473180610304,
1972,560.9694777121772,424.8252598255052,
1973,584.8539377205637,432.199185521954,
1974,531.6863498777584,400.96719321230455,
1975,503.96073153476414,354.4180573244457,
1976,492.3739936205864,347.714738768035,
1977,486.6122987552775,345.1682891413109,
1978,476.59163912117265,331.9321103749837,
1979,479.734075232964,339.47199792049,
1980,441.5809468426536,301.14284865793525,
1981,423.59011335148904,286.6517123869151,
1982,414.40129499563386,282.0012753597617,
1983,408.6306130428381,272.4287316215665,
1984,365.2882431003643,245.81507863365195,
1985,403.2742826392234,270.73186095721115,
1986,414.7526489419292,281.7555369697305,
1987,405.4815126926852,259.06850189152186,
1988,397.6590628663551,253.85931012665617,
1989,399.63539736161135,250.63081327671136,
1990,332.5184970506645,214.9500633544704,
1991,332.5067481936717,215.41693060283012,
1992,316.30274080418656,206.6961372160481,
1993,293.5820314125821,191.92967555482383,
1994,278.6260117589845,181.1904569774526,
1995,253.91858106488883,162.07239903408677,
1996,250.57648846894935,158.4527747768104,
1997,232.6271257362592,148.05371290482586,
1998,222.8496678982307,141.76874992236006,
1999,213.23190069710057,135.71679700021576,
2000,199.74470533621107,122.4047501378438,
2001,200.21349940275087,119.09316634778266,
2002,174.11944883257905,102.92920755279282,
2003,181.94615334848731,102.26700411091224,
2004,172.6361606386297,100.2060810640423,
2005,168.97680804679345,98.75493330697752,
2006,168.74499485378905,99.12659941638088,
2007,160.55855545065452,93.29336372446264,
2008,148.13255245700037,86.97558421000952,
2009,134.78245646554214,78.40699260661751,
2010,141.63929028539474,79.99324100843077,
2011,134.1616089246652,76.14532794370633,
2012,129.81335654971815,75.9359422546072,
2013,133.28295931467025,75.84492855628382,
2014,129.4282319880933,72.91870827339443,
2015,128.00859138961198,71.32926590215224,
2016,126.8449023204464,68.32491048324908,
2017,129.83648619918108,68.49313915536547,
2018,128.523665576418,68.68681036486878,
2019,122.13050574786992,65.25833440053313,
2020,107.05034922194083,58.36298196941867,69.12845331488425
2021,116.19771931133424,60.4649335165084,69.12845331488425
2022,114.63084827004477,58.18318516164413,69.12845331488425
2023,107.20769762241136,55.14409472518884,69.12845331488425
2024,103.5785152195218,52.977522078275605,69.12845331488425
2025,,,69.12845331488425
2026,,,69.12845331488425
2027,,,69.12845331488425
2028,,,69.12845331488425
2029,,,69.12845331488425
