year,geography,pm25_concentration
2009,United Kingdom,12.3933081899161
2010,United Kingdom,12.9730330496344
2011,United Kingdom,13.7048403424797
2012,United Kingdom,12.5614728524452
2013,United Kingdom,12.0871967621022
2014,United Kingdom,12.0797546640345
2015,United Kingdom,9.77160567877203
2016,United Kingdom,9.78956439612228
2017,United Kingdom,9.41469919605692
2018,United Kingdom,9.92569218276865
2019,United Kingdom,9.88070649204144
2020,United Kingdom,7.88340429542889
2021,United Kingdom,7.92325059802345
2022,United Kingdom,8.25449616475009
2023,United Kingdom,7.23438023110611
2024,United Kingdom,7.15113554252513
